probe_person,gallery_person,probe_image,label,quality_score,best_similarity,margin
ca si╠â Akira Phan,ca si╠â Akira Phan,1671998558692382000.jpg,1,21.26995849609375,0.28088492,0.062268525
ca si╠â Akira Phan,ca si╠â Kelvin Kha╠ünh,1671998558692382000.jpg,0,21.26995849609375,0.2186164,0.062268525
ca si╠â Anh Tho╠¢,ca si╠â Anh Tho╠¢,1671998325004483000.jpg,1,16.9995174407959,0.19692263,0.004441023
ca si╠â Anh Tho╠¢,ca si╠â Karik,1671998325004483000.jpg,0,16.9995174407959,0.20136365,0.004441023
ca si╠â Ba╠å╠Çng Kie╠é╠Çu,ca si╠â Ba╠å╠Çng Kie╠é╠Çu,1671998458892313000.jpg,1,19.104328155517578,0.21325761,0.013655037
ca si╠â Ba╠å╠Çng Kie╠é╠Çu,ca si╠â ─Éa╠ång Kho╠éi,1671998458892313000.jpg,0,19.104328155517578,0.26309142,0.013655037
ca si╠â Ba╠ëo Anh,ca si╠â Ba╠ëo Anh,1671998387567004000.jpg,1,15.881787300109863,0.33800843,0.10552576
ca si╠â Ba╠ëo Anh,ca si╠â Nha╠ú╠ét Kim Anh,1671998387567004000.jpg,0,15.881787300109863,0.23248267,0.10552576
ca si╠â Ba╠ëo Thy,ca si╠â Ba╠ëo Thy,1671998449043086000.jpg,1,17.334331512451172,0.42706326,0.18214789
ca si╠â Ba╠ëo Thy,ca si╠â Thu╠Çy Chi,1671998449043086000.jpg,0,17.334331512451172,0.24491537,0.18214789
ca si╠â Bigdaddy,ca si╠â Bigdaddy,1671998365300464000.jpg,1,16.638046264648438,0.22492705,0.010594189
ca si╠â Bigdaddy,ca si╠â Minh Vu╠¢o╠¢ng,1671998365300464000.jpg,0,16.638046264648438,0.28818083,0.010594189
ca si╠â Bi╠üch Phu╠¢o╠¢ng,ca si╠â Bi╠üch Phu╠¢o╠¢ng,1671998465063243000.jpg,1,17.494354248046875,0.20883508,0.081599325
ca si╠â Bi╠üch Phu╠¢o╠¢ng,ca si╠â Phu╠¢o╠¢ng My╠â Chi,1671998465063243000.jpg,0,17.494354248046875,0.34143618,0.081599325
ca si╠â Bu╠Çi Anh Tua╠é╠ün,ca si╠â Bu╠Çi Anh Tua╠é╠ün,1671998287544243000.jpg,1,19.770919799804688,0.24357706,0.038780928
ca si╠â Bu╠Çi Anh Tua╠é╠ün,ca si╠â Justatee,1671998287544243000.jpg,0,19.770919799804688,0.4131825,0.038780928
ca si╠â Cao Tha╠üi So╠¢n,ca si╠â Cao Tha╠üi So╠¢n,1671998368716112000.jpg,1,14.521807670593262,0.2330152,0.023647591
ca si╠â Cao Tha╠üi So╠¢n,ca si╠â ─Éa╠ång Kho╠éi,1671998368716112000.jpg,0,14.521807670593262,0.2566628,0.023647591
ca si╠â Ca╠é╠ëm Ly,ca si╠â Ca╠é╠ëm Ly,1671998276481386000.jpg,1,15.979894638061523,0.47724292,0.18078604
ca si╠â Ca╠é╠ëm Ly,ca si╠â Miu Le╠é,1671998276481386000.jpg,0,15.979894638061523,0.29645687,0.18078604
ca si╠â Ca╠üt Tu╠¢o╠¢╠Çng,ca si╠â Ca╠üt Tu╠¢o╠¢╠Çng,1671998332239401000.jpg,1,16.897871017456055,0.23794812,0.06763363
ca si╠â Ca╠üt Tu╠¢o╠¢╠Çng,ca si╠â U╠¢ng Hoa╠Çng Phu╠üc,1671998332239401000.jpg,0,16.897871017456055,0.43647453,0.06763363
ca si╠â Chi Da╠én,ca si╠â Chi Da╠én,1671998281789820000.jpg,1,13.505596160888672,0.2518546,0.010647863
ca si╠â Chi Da╠én,ca si╠â La╠ém Cha╠é╠ün Huy,1671998281789820000.jpg,0,13.505596160888672,0.3061484,0.010647863
ca si╠â Di╠úch Du╠¢o╠¢ng Thie╠én Ti╠ë,ca si╠â Di╠úch Du╠¢o╠¢ng Thie╠én Ti╠ë,1671998359282701000.jpg,1,18.289823532104492,0.26210573,0.052951857
ca si╠â Di╠úch Du╠¢o╠¢ng Thie╠én Ti╠ë,ca si╠â Min,1671998359282701000.jpg,0,18.289823532104492,0.20915388,0.052951857
ca si╠â Doa╠ân Hie╠é╠üu,ca si╠â Doa╠ân Hie╠é╠üu,1671998399751164000.jpg,1,15.956720352172852,0.0919938,0.11387497
ca si╠â Doa╠ân Hie╠é╠üu,ca si╠â S.T So╠¢n Tha╠úch,1671998399751164000.jpg,0,15.956720352172852,0.31162718,0.11387497
ca si╠â Du╠¢o╠¢ng Trie╠ú╠éu Vu╠â,ca si╠â Du╠¢o╠¢ng Trie╠ú╠éu Vu╠â,1671998221411914000.jpg,1,18.720582962036133,0.18217885,0.04197389
ca si╠â Du╠¢o╠¢ng Trie╠ú╠éu Vu╠â,ca si╠â Tri╠únh Tha╠ång Bi╠Çnh,1671998221411914000.jpg,0,18.720582962036133,0.22415274,0.04197389
